date,nbr_mean,ndvi_mean
2022-01-02,0.8373075915790407,0.0403107869547802
2022-01-03,0.36822183559103766,0.016048593599223476
2022-01-04,0.6562757649027128,0.04898700333814518
2022-01-05,0.5955147687318,0.032234344993128515
2022-01-06,0.5746513017371809,-0.0002757889563942468
2022-01-07,0.8961310709168411,0.02942921381807616
2022-01-08,0.45282979048692035,0.017058403425240724
2022-01-09,0.6366242515896123,0.0585801117838828
2022-01-10,0.7171929506152396,0.0695621141684741
2022-01-11,0.3156801045311119,-0.010107749343942105
2022-01-12,0.37345027981602164,0.012514000118474715
2022-01-13,0.3916101414989205,0.09229456817756346
2022-01-14,0.35828503206385737,-0.0023299581827571293
2022-01-15,0.4999899344852046,0.18155525105673329
2022-01-16,0.3543262888849355,0.1439489841293157
2022-01-17,0.24086035218287885,0.06880528236458362
2022-01-18,0.4528430533806459,-0.009932447383633603
2022-01-19,0.4401448584601182,-0.007780456698208832
2022-01-20,0.45514826446332307,0.11772971374899475
2022-01-21,0.5291547522397431,-0.005219413769837459
2022-01-22,0.6421498916440403,0.1794415247474122
2022-01-23,0.36945275269685374,0.1998869689788118
2022-01-24,0.28469432545170814,0.24662588536019442
2022-01-25,0.6883520463574936,-0.005106793868506048
2022-01-26,0.8431024870541348,0.045124431201349235
2022-01-27,0.7268148528580223,-0.007289031092854967
2022-01-28,0.8335127334827748,0.03735625625582092
2022-01-29,0.7085203917519265,0.09843017760003048
2022-01-30,0.6703941814452704,0.0865680724880169
2022-01-31,0.4310458559677524,0.10214314731013605
2022-02-01,0.47949087608499585,0.05551438926297313
2022-02-02,0.7121008477152887,0.01251941204122212
2022-02-03,0.8340425744196184,0.02573949511941959
2022-02-04,0.8652250103955279,0.025810080909335554
2022-02-05,0.3593876768656185,-0.008981177946928895
2022-02-06,0.7858283068599139,0.04256701875041985
2022-02-07,0.6599642438373786,0.10230231693884667
2022-02-08,0.4817454563159318,0.10956390600186099
2022-02-09,0.3721524486782484,0.1765051492115571
2022-02-10,0.36380027414243654,0.056277465909154896
2022-02-11,0.2598809238072316,0.005985436207761285
2022-02-12,0.7596333948178761,0.014504591505235965
2022-02-13,0.8699378127297417,0.019725357784290843
2022-02-14,0.6545220076944601,0.10847852223479443
2022-02-15,0.4876375846406579,0.12055030662923945
2022-02-16,0.39522003409119405,-0.001970672154952652
2022-02-17,0.8749787632676893,0.019461380711049095
2022-02-18,0.8165471553978441,0.04746937083635794
2022-02-19,0.706583522934972,0.07550204369620221
2022-02-20,0.4320804803771384,0.13000771774173964
2022-02-21,0.3213970492400183,0.13143058952734693
2022-02-22,0.704830317265493,0.02124178085531842
2022-02-23,,
2022-02-24,0.8502136278356041,0.023883391543598573
2022-02-25,0.6962884328293591,0.02532609116823625
2022-02-26,0.8211975131082856,0.046306496120333544
2022-02-27,0.7338200752744918,0.06871143685873705
2022-02-28,0.3946070701958742,0.16847218908482708
2022-03-01,0.22519420685309954,0.17755525220157306
2022-03-02,0.29015617853068915,0.03233711872543425
2022-03-03,0.2507775035559344,0.135277893157233
2022-03-04,0.49097308758665625,8.739111272855658e-05
2022-03-05,0.4482163713910765,0.0031487068743106497
2022-03-06,0.5327974146771126,0.006873283539598609
2022-03-07,0.7946969155082347,0.04746099729114701
2022-03-08,0.34447763039645724,0.14544626999131902
2022-03-09,0.7073004353099299,0.006204823950829786
2022-03-10,0.7568684312394736,0.02890015050950178
2022-03-11,0.6629907883083855,0.07958194411072288
2022-03-12,0.2870026988218822,0.17542719231089385
2022-03-13,0.11754781700795008,0.2613042040499826
2022-03-14,0.0830891339114878,0.2419714198583192
2022-03-15,0.10177962792519925,0.1589124024911015
2022-03-16,0.5443002847898954,-0.00028218642226576985
2022-03-17,0.5250050303558798,0.00666728181116271
2022-03-18,0.6409691778283363,0.0944751057594584
2022-03-19,0.3077962866683248,0.1749326545574013
2022-03-20,0.18517708048928233,0.21005343444886107
2022-03-21,0.5541466492285546,0.013051541119405556
2022-03-22,0.29158259891406424,0.020182667817185324
2022-03-23,0.0860941808055692,0.2523920883023636
2022-03-24,0.06877364841985306,0.25004498966114863
2022-03-25,0.09904372088435284,0.2638663866376268
2022-03-26,0.0967686732422165,0.22835940165434332
2022-03-27,0.2365190532931107,0.013722316160286688
2022-03-28,0.5384284586453296,0.01783742881800694
2022-03-29,0.7177264044142176,0.0004897322220531189
2022-03-30,0.19317510024305856,0.1582488901211577
2022-03-31,0.0813873953407967,0.2967075478000362
2022-04-01,0.229195338776145,0.17348091074331787
2022-04-02,0.0975597210794419,0.25452160922438005
2022-04-03,0.3083930544320631,0.11636985639551889
2022-04-04,0.07697939419203859,0.28459235154600676
2022-04-05,0.3152210105959494,0.15603129991922843
2022-04-06,0.09057582689779849,0.29405904946346945
2022-04-07,0.11525133703826426,0.3267632654347285
2022-04-08,0.1125803294820511,0.30625238454035064
2022-04-09,0.23268427902095554,0.2087556716245109
2022-04-10,0.17436040727044566,0.33368053279850296
2022-04-11,0.19306435126214438,0.22717362306293626
