date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,relative_humidity,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,wind_direction,wind_speed,ffmc,duff_moisture,drought_code,fire_weather_index
2018-08-01,10.932946261017946,36.09655152273035,27.758704577089706,101189.3431053354,20.24832038460454,35.3007824826381,93873.35449131792,0.0,-0.0862909164594839,0.8067838947509014,-0.2396934054203555,0.9889205742537304,85.0,6,15,111.63569388812108
2018-08-02,7.094112281425794,34.580137268773,26.618270771664186,101159.6004818752,17.940678096419163,29.251078507795626,93832.84970271224,1.862645149230957e-09,-0.290111131377092,1.1347218698123402,-8.04619507974447,1.308406487299026,91.15011369347914,6,15,121.64070080858902
2018-08-03,8.08325486266682,34.18059564660098,26.04941479984973,101199.73744759202,17.101966422656574,32.25367749298865,93855.39096820276,4.284083843231201e-08,0.01078826365575,0.5155699238375728,-0.7680699509233319,0.7658059423702192,92.53302717706465,6,15,120.18106490537207
2018-08-04,5.00875399944232,33.60341754300765,26.465687419272054,101175.64412891438,18.183043982488016,25.634468297187382,93824.57024061296,1.862645149230957e-09,0.3683299314452938,0.4047935696930505,1.1292592548363078,0.8956560805104549,93.72855574157913,6,15,122.5267355144011
2018-08-05,3.722578286600992,33.344316592489804,25.12065701256813,101160.08545052315,16.622140507458937,25.307912236736342,93795.61811507498,4.284083843231201e-08,-0.0711207465315942,0.2513183795134616,4.799550278533058,0.6943966332977717,94.1619217502373,6,15,121.86078116343334
2018-08-06,4.982775406060455,34.17117586936973,25.10081314988224,101393.09839715052,15.64294350438115,27.641420783372183,94023.81576042596,0.0,0.2998387918349507,-0.4412041962031761,116.96794454000224,0.5922552675433549,95.32173962420795,6,15,122.73336241909821
2018-08-07,6.027538008108252,34.814812000486484,25.700156290943823,101163.25534515064,16.374756857605178,28.72683005364921,93838.3101717869,1.862645149230957e-09,0.0890866730351948,0.084301790746861,34.329487309527586,0.3726525546058184,95.39263480132182,6,15,121.48339067564937
2018-08-08,9.27312478042569,34.17891680841177,25.76190080651196,101099.5959390769,17.281453080940253,35.503106219193185,93778.59027159396,4.0978193283081055e-08,-0.3224078942721659,0.824631498533316,-12.97085217455284,1.0032462163447058,94.1821292599908,6,15,123.78377767339701
2018-08-09,8.109897632321577,36.262372012774,26.043242477004924,101236.09937806102,16.864886037996996,32.41816061497266,93917.108709465,0.0,-0.379902492113396,0.318454601994057,-39.08724364917749,0.5875854549553727,94.84656597037109,6,15,122.09303241885087
2018-08-10,7.081674461557327,36.86145378423049,28.197044892960832,101311.49814716904,19.349462414155937,26.615022905745526,93990.56711004752,0.0,-0.3467909098113811,0.5228978452872862,-28.652361652036262,0.8309260650307239,96.03961116868639,6,15,125.14218580206933
2018-08-11,7.4606489390427555,36.82920380589809,28.873592723870274,101268.49821441826,21.18207797296475,26.22054990503157,93946.53397938928,0.0,-0.1491354363905495,1.1036555872858016,-7.338785544258512,1.3289166959278096,96.2294924638189,6,15,128.5509432460253
2018-08-12,5.866493378636733,35.26144128552039,27.126148654827944,101188.9496744212,17.98155281879889,25.94245056535557,93856.95716226996,0.0,-0.4063423236825941,1.1275840068330538,-13.42441362940304,1.3291516385270743,96.05158014638528,6,15,128.3147812664619
2018-08-13,5.135058863688869,34.00857871132894,25.7584122460475,101185.05255639658,16.847843524121117,26.831114765853076,93847.03515045266,0.0,-0.6553110196085139,1.2085840619611756,-24.57013741473471,1.4395868103587948,95.6843115878275,6,15,128.53191555842392
2018-08-14,7.006134170890107,33.325599896416065,24.57544698242492,101077.76302547124,16.68608123788357,32.742604747196474,93742.3002119509,2.710692392113161e-05,-0.357770873676531,1.128129445841278,-10.90745609267938,1.241392696334474,94.54292770023181,6,15,125.74639981437868
2018-08-15,9.523191939025937,32.49723207830999,24.2527554791418,101104.26212572352,17.24033249684925,39.52144316039384,93759.29824317306,4.682969246651237e-05,-0.1441033067777155,1.4431803675142305,1.5779844478809923,1.539706971037463,93.1898627584533,6,15,125.80937278747392
2018-08-16,8.936005193042945,33.88316922865772,24.88673744824428,101367.953533133,17.04795738394597,36.52431029533812,94004.36748896189,0.0,-0.5159859386830858,1.3307121888081723,-17.732765189049758,1.4824259882247108,93.66494790068361,6,15,126.08911027714954
2018-08-17,8.321147645365556,34.84834013905231,26.008294098000132,101627.51281212896,17.233344949760294,32.81815648485915,94252.4818983749,0.0,-0.3796146957562564,0.732175110567568,-21.34163980885296,0.924462992571157,94.49019167865715,6,15,123.70042786630422
2018-08-18,8.85796837607137,35.542414543897,26.780879451925045,101629.29542798312,17.545419859553647,32.51792984306673,94263.98808298088,0.0,-0.2582379528709723,0.3071845764441885,-27.338686658617465,0.5322100257444861,94.75456069038275,6,15,121.6373442059261
2018-08-19,5.959311609673023,35.3942916947114,26.28817967510821,101349.64078500668,16.815925371232993,27.57866375208336,94012.87724009353,0.0,-0.2509656600183074,0.4461368668606601,-21.88945649178035,0.6786142792542927,95.61198384836965,6,15,123.63979157733999
2018-08-20,5.257015838124914,34.66215941513218,25.7800451689144,101029.79627671416,16.067454311861184,27.01467677312216,93703.10355678615,4.644449009637729e-06,-0.5054063126909234,0.752404939946098,-22.164808439121167,1.0267656083938486,95.70142469906479,6,15,125.92859213588332
2018-08-21,6.574092994751197,33.06972420732927,22.930193138858613,101134.5761747737,14.30156478995076,35.15515167941784,93775.47740195534,1.528390740456586e-05,-0.4301044007126904,1.3505322306366343,-10.784742580745087,1.4972030893686068,94.1141470866243,6,15,126.787452499846
