date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,relative_humidity,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,wind_direction,wind_speed
2018-08-01,10.932946261017946,36.09655152273035,27.758704577089702,101189.34310533541,20.24832038460454,35.3007824826381,93873.35449131792,0.0,-0.08629091645948396,0.8067838947509014,-0.2396934054203555,0.9889205742537305
2018-08-02,7.094112281425794,34.580137268773,26.618270771664186,101159.60048187521,17.940678096419163,29.251078507795626,93832.84970271225,1.862645149230957e-09,-0.290111131377092,1.1347218698123402,-8.04619507974447,1.308406487299026
2018-08-03,8.08325486266682,34.18059564660098,26.04941479984973,101199.73744759202,17.101966422656574,32.25367749298865,93855.39096820276,4.284083843231201e-08,0.010788263655750053,0.5155699238375728,-0.7680699509233319,0.7658059423702192
2018-08-04,5.00875399944232,33.60341754300765,26.465687419272058,101175.64412891438,18.183043982488016,25.634468297187382,93824.57024061296,1.862645149230957e-09,0.36832993144529386,0.4047935696930505,1.1292592548363078,0.8956560805104549
2018-08-05,3.722578286600992,33.344316592489804,25.12065701256813,101160.08545052317,16.622140507458937,25.307912236736346,93795.61811507498,4.284083843231201e-08,-0.07112074653159428,0.25131837951346164,4.799550278533058,0.6943966332977717
2018-08-06,4.982775406060455,34.17117586936973,25.100813149882242,101393.09839715052,15.64294350438115,27.641420783372183,94023.81576042596,0.0,0.29983879183495077,-0.4412041962031761,116.96794454000224,0.5922552675433549
2018-08-07,6.027538008108252,34.814812000486484,25.700156290943823,101163.25534515065,16.374756857605178,28.72683005364921,93838.3101717869,1.862645149230957e-09,0.08908667303519488,0.08430179074686106,34.329487309527586,0.3726525546058184
2018-08-08,9.27312478042569,34.17891680841177,25.76190080651196,101099.5959390769,17.281453080940253,35.503106219193185,93778.59027159396,4.0978193283081055e-08,-0.32240789427216593,0.824631498533316,-12.97085217455284,1.0032462163447058
2018-08-09,8.109897632321577,36.262372012773994,26.043242477004924,101236.09937806102,16.864886037996996,32.41816061497266,93917.108709465,0.0,-0.379902492113396,0.318454601994057,-39.08724364917749,0.5875854549553727
2018-08-10,7.081674461557327,36.86145378423049,28.197044892960832,101311.49814716904,19.349462414155937,26.615022905745526,93990.56711004753,0.0,-0.34679090981138117,0.5228978452872862,-28.652361652036266,0.8309260650307239
2018-08-11,7.4606489390427555,36.82920380589809,28.873592723870274,101268.49821441826,21.18207797296475,26.220549905031575,93946.53397938929,0.0,-0.14913543639054958,1.1036555872858016,-7.338785544258512,1.3289166959278096
2018-08-12,5.866493378636733,35.26144128552039,27.126148654827944,101188.94967442121,17.98155281879889,25.942450565355575,93856.95716226997,0.0,-0.40634232368259415,1.1275840068330538,-13.424413629403041,1.3291516385270743
2018-08-13,5.135058863688869,34.00857871132894,25.7584122460475,101185.05255639658,16.847843524121117,26.831114765853073,93847.03515045266,0.0,-0.6553110196085139,1.2085840619611756,-24.57013741473471,1.4395868103587948
2018-08-14,7.006134170890107,33.325599896416065,24.57544698242492,101077.76302547124,16.68608123788357,32.742604747196474,93742.3002119509,2.7106923921131606e-05,-0.35777087367653104,1.128129445841278,-10.90745609267938,1.241392696334474
2018-08-15,9.523191939025935,32.49723207830999,24.252755479141797,101104.26212572353,17.24033249684925,39.52144316039384,93759.29824317306,4.682969246651237e-05,-0.14410330677771557,1.4431803675142303,1.5779844478809923,1.539706971037463
2018-08-16,8.936005193042945,33.88316922865772,24.886737448244276,101367.953533133,17.04795738394597,36.52431029533812,94004.36748896187,0.0,-0.5159859386830858,1.3307121888081725,-17.732765189049758,1.4824259882247108
2018-08-17,8.321147645365556,34.84834013905231,26.008294098000135,101627.51281212897,17.233344949760294,32.81815648485915,94252.4818983749,0.0,-0.37961469575625645,0.732175110567568,-21.34163980885296,0.924462992571157
2018-08-18,8.85796837607137,35.542414543896996,26.780879451925045,101629.29542798312,17.545419859553647,32.51792984306673,94263.98808298087,0.0,-0.2582379528709723,0.30718457644418856,-27.338686658617462,0.5322100257444861
2018-08-19,5.959311609673023,35.3942916947114,26.28817967510821,101349.64078500669,16.815925371232993,27.578663752083358,94012.87724009351,0.0,-0.2509656600183074,0.4461368668606601,-21.88945649178035,0.6786142792542927
2018-08-20,5.257015838124914,34.66215941513218,25.7800451689144,101029.79627671417,16.067454311861184,27.014676773122158,93703.10355678615,4.644449009637729e-06,-0.5054063126909234,0.752404939946098,-22.164808439121167,1.0267656083938486
2018-08-21,6.574092994751197,33.06972420732927,22.930193138858613,101134.5761747737,14.30156478995076,35.15515167941784,93775.47740195534,1.528390740456586e-05,-0.43010440071269046,1.3505322306366343,-10.784742580745087,1.4972030893686068
2018-08-22,8.853700697942202,29.63531812269855,21.720968880657665,101443.91070467871,13.58974867537961,44.0390154506596,94043.78112709631,0.0,-0.1870605326651572,1.0227700816696847,-3.770592073191658,1.1180940279807252
2018-08-23,8.596280524100223,29.325019727272775,21.77324504812674,101519.93848786733,13.126932356017278,43.148572382616216,94109.56612449914,0.0,-0.3960581695460255,1.142924075028988,-14.438836033569638,1.2725035033794454
2018-08-24,7.61597206158757,28.833196499723556,20.725260346011623,101359.75400248593,12.460175133034625,43.02128626883946,93945.68917891067,0.0,-0.5407700076871755,1.3236097679997312,-17.22225483825191,1.4995053148682167
2018-08-25,6.468529023385429,29.294992540993064,20.699629946510868,101244.79991976476,12.274464464966172,39.92050683742798,93846.58020044897,1.862645149230957e-09,-0.4728205673137841,0.7259810636255147,-28.844299594048806,0.9228030419721118
