date,nbr_mean,ndvi_mean
2021-08-15,0.11664824956003636,0.38884123020366707
2021-08-16,0.15432526143652475,0.4281288972965215
2021-08-17,0.16999030217527022,0.4332644079132622
2021-08-18,0.16007278402605102,0.15288346703081476
2021-08-19,0.20243733113830625,0.27377743110616065
2021-08-20,0.09183432149210671,0.37913850036154506
2021-08-21,0.19674550391850243,0.45266600010543556
2021-08-22,0.11322045991003817,0.4063384951722132
2021-08-23,0.16307304148332524,0.44226474973387053
2021-08-24,0.14889015837558292,0.43853081447236675
2021-08-25,0.1642053226436359,0.3894151655609384
2021-08-26,0.19177882916897623,0.4272614074204
2021-08-27,0.08859048796436318,0.3719585556189756
2021-08-28,0.19654003201858128,0.45524077344364294
2021-08-29,0.10727886572271499,0.3903558052234322
2021-08-30,0.1811396965292002,0.4556107223236048
2021-08-31,0.13009652126368848,0.3894552812994386
2021-09-01,0.15147081678448437,0.4280480498009177
2021-09-02,0.16425779319827913,0.4053810088287694
2021-09-03,0.09047438483765201,0.3764764311464388
2021-09-04,0.2296217759293684,0.45677153224937
2021-09-05,0.09824682133308285,0.37826407885554547
2021-09-06,0.1973500270782656,0.4352844055579234
2021-09-07,0.14174143034175804,0.35090647192152935
2021-09-08,0.37827089105861395,0.03971904299565661
2021-09-09,0.22518950828591425,0.10533913032621518
2021-09-10,0.47420789039591044,0.09702058181065275
2021-09-11,0.2306865744667447,0.4105630572632119
2021-09-12,0.12897777893970896,0.410353406086984
2021-09-13,0.360203003675416,0.20761808834439843
2021-09-14,0.10817982622751052,0.38756806666766197
2021-09-15,0.1793329289889972,0.45590001767802046
2021-09-16,0.14103541636341943,0.3996871779665155
2021-09-17,0.14304868977612498,0.41737598334971276
2021-09-18,0.6086387701185394,-0.004057577157605429
2021-09-19,0.25075568864896447,0.22297712902212102
2021-09-20,0.224893585015498,0.44797997272814205
2021-09-21,0.1078708456177284,0.38997995540477054
2021-09-22,,
2021-09-23,0.13196771239689595,0.3909918818256351
2021-09-24,0.14890415542435828,0.43439763601942627
2021-09-25,0.16080981292340266,0.4076539441993175
2021-09-26,0.121068939307021,0.40248118383197307
2021-09-27,0.24779073091829754,0.16370036778525068
2021-09-28,0.3497835174703461,0.09269664870526888
2021-09-29,0.22739796770807089,0.4889524385516079
2021-09-30,0.1308420496044448,0.3948775702989181
2021-10-01,0.17945511571928627,0.4569559390266773
2021-10-02,0.1580552926644489,0.3882541109963337
2021-10-03,0.13912369659104568,0.4207587363356115
2021-10-04,0.2572894451465525,0.125982892003829
2021-10-05,0.540221451940198,0.022443002325151857
2021-10-06,0.24164932568104489,0.05130587748138477
2021-10-07,0.3340721864615541,0.1932824673304283
2021-10-08,0.24215296008041065,0.19751638997794202
2021-10-09,0.14073117409773278,0.3932762349426805
2021-10-10,0.31901553751932854,0.16425984378215272
2021-10-11,0.18431415472556328,0.25808373489578873
2021-10-12,0.2717437713524469,0.23884232963577987
2021-10-13,0.20379647460954262,0.1684047371268189
2021-10-14,0.11902849528752053,0.3652777531465761
2021-10-15,0.2015715169402799,0.4860027994335356
2021-10-16,0.12685711588616666,0.3821460950259719
2021-10-17,0.34542821105961025,0.011140523225352384
2021-10-18,0.12603238233658545,0.12985853636346809
2021-10-19,0.4634694481076929,0.05554931038156912
2021-10-20,0.21700991138571346,0.19814864524028925
2021-10-21,0.30084435673935245,0.14779702770323191
2021-10-22,0.5450295574663785,0.0024721264494723264
2021-10-23,0.7179530045558997,-0.004368728315835441
2021-10-24,0.5648346989045332,-0.001575325193447813
2021-10-25,0.3023025754030542,0.09232512560436686
2021-10-26,0.31535081826903055,0.006490574980688289
2021-10-27,0.214153852724215,0.32170023314730334
2021-10-28,0.2208730866523504,0.44146342618932355
2021-10-29,0.3464461395006438,0.2189069415649975
2021-10-30,0.3957690133528135,0.07036930403366964
2021-10-31,0.18612664784741734,0.04918234603506194
2021-11-01,0.7123121244618564,-0.010227688320592466
2021-11-02,0.20809559442554038,0.0543113013660537
2021-11-03,0.5531623558933416,0.04673310671064969
2021-11-04,0.47051992465255676,0.06189590690361921
2021-11-05,0.5721271895495021,0.0073888586332359766
2021-11-06,0.5737157428181333,0.025303610920218
2021-11-07,0.3176145766346186,0.34678671013755424
2021-11-08,0.3382760729224434,0.28089959358897015
2021-11-09,0.3210058463462534,0.19941102998768886
2021-11-10,0.2849280341985261,0.07640901632110414
2021-11-11,0.24173496574690329,0.24194093371332445
2021-11-12,0.2823346060243836,0.31992455253026075
2021-11-13,0.24674179323124887,0.44755550504953495
2021-11-14,0.3939493488434821,0.15346604622238963
2021-11-15,0.4666627223847938,0.02439585905890041
2021-11-16,0.2905240165191813,0.45250893441472556
2021-11-17,0.23424471615331371,0.386123255244423
2021-11-18,0.49173835654790077,0.005219377780546454
2021-11-19,0.32810419336588925,0.12845562032388416
2021-11-20,0.2765606361117959,0.4968071031416737
2021-11-21,0.29216242469686343,0.31161767686754005
2021-11-22,0.22634714760978597,0.46621318913623894
