date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,relative_humidity,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,wind_direction,wind_speed,ffmc,duff_moisture,drought_code,fire_weather_index
2020-06-01,6.489803599285892,18.538998294133023,13.746487256532134,101545.26114646338,9.879102694603771,62.08635395631475,82765.13623834425,0.0004037729732351,0.2926942319703108,1.0401777166847244,22.019134768896688,1.2156012140062082,85.0,6,15,112.9081739566098
2020-06-02,6.058198198708112,23.724442336379862,15.102386810959048,101682.4438686576,7.498674411158447,55.05872454835214,82984.46806483116,0.0001490221525322,-0.0848886263813392,0.1757422544279477,24.16322158640378,0.4650903533807511,86.46679612241677,6,15,110.62637685212815
2020-06-03,4.961932928844249,26.204646057210937,18.637059517316917,101795.89750819057,10.357369328570712,40.91302774816649,83173.89944031418,9.258454214901692e-05,0.2400576573213242,0.1359146784969745,-11.632809275033926,0.5222409265433668,88.78835224713974,6,15,113.92166586256796
2020-06-04,4.068680197192862,26.84946069204676,19.23804904363493,101330.54744203627,10.003892845235953,37.13382278755495,82817.65303416918,9.977179692096768e-05,0.7241964529528814,-0.2064585748982305,113.65893026705773,0.9140406557776268,90.15966798722205,6,15,117.96969522370165
2020-06-05,4.2128822347170285,26.64712516005329,17.745744098130103,100817.59829941616,11.010215921299505,41.12122174071199,82368.64734805527,0.0002634410992995,0.964246261123848,0.4096073572503864,69.2159796189238,1.1197214158010964,91.28112952576288,6,15,120.67170807087278
2020-06-06,3.795387665943508,18.73113116192565,12.410966143044163,101073.21036258822,8.090475305946995,56.44838996130258,82320.47446236559,0.0001436574647443,1.956674016291096,0.8745680852688008,65.8036473913907,2.2024640094876045,89.00908882116232,6,15,124.21391967442234
2020-06-07,-1.096747410681871,13.969586072942263,7.918694627413117,101537.87614982358,2.844812616737954,53.40178394046576,82525.08725533435,8.11292087629197e-06,2.4926302108953724,0.3127340735136582,82.73036088571035,2.6300683435427743,88.06482023548664,6,15,125.55201130189054
2020-06-08,-4.658138892471072,16.968058655851678,7.7059300822597265,101912.59944923976,1.0236935338666058,41.59752610250735,82835.6085559476,1.0211376212937857e-07,0.6165834274309624,-0.9676506155050332,90.7715875227544,1.3200535680693244,88.26537647263828,6,15,117.85960736114174
2020-06-09,-1.3389245945919583,21.27093760992892,12.102894309259284,102138.9586903562,2.964177416729683,39.66766925949451,83272.01303658434,1.5444206123951305e-05,0.4720788416252422,-0.184774844345176,85.74599128444792,0.599278088605654,88.97211275498631,6,15,114.5980096746461
2020-06-10,3.483844498665121,23.066847440247894,15.521967937100383,101952.26993552588,7.302590614236919,45.01694359428425,83208.76506321403,0.0002621463168242,0.3808863423714627,0.1060213602507256,71.70358659517484,0.4688298189456635,89.89104122854708,6,15,115.028891373271
2020-06-11,1.9545102150210028,24.7361862920946,17.115910835676345,101756.62009618616,8.388604336400192,36.46499231724252,83091.0453314012,0.0,0.4410883384551451,0.7686267238090276,7.081291579735131,0.983699032324672,90.37848592287928,6,15,118.66860240187987
2020-06-12,1.6005395848264357,24.23295438212739,16.022953738961235,101657.50045415408,10.614472417934053,38.152317844878255,82945.5185966902,0.0012207485639029,0.3901970149578041,1.9724994524912811,13.807175080551282,2.084940745796491,80.09553598770503,6,15,111.1200013544066
2020-06-13,2.7468539289249065,14.562587243767156,9.21924250407892,101692.14043598792,4.253523424620312,64.51915219744822,82733.94147712954,0.0049707674514001,1.4332402653150982,0.925304930068813,58.83375029075399,1.8976554827959409,56.67229933136505,6,15,77.89111336214287
2020-06-14,1.7102979824107365,19.896875287127784,11.32453397320171,101495.49648752522,3.371008183879269,52.03972088904106,82697.20306462114,0.0,0.9925644112530576,-0.0475430245991916,89.07439868642317,1.0436701248696114,74.56353065929747,6,15,98.19728625266644
2020-06-15,5.795422644256291,20.67645451125281,14.68015449072726,101529.5510673933,7.558182663045898,55.66741008562487,82850.46794407342,0.0,1.1180733346971132,0.0647661797652241,85.03858613660947,1.1666044510180549,82.40131646652827,6,15,109.18843893947005
2020-06-16,5.518544102740577,19.54088505160428,14.232164688520584,101462.3152748026,8.500894534203383,56.54095218178472,82715.5130234585,5.697897855713162e-07,1.5672024220268252,0.8969915922160352,62.53855862570381,1.9560722956853336,84.97930404728552,6,15,117.13825585508178
2020-06-17,1.6306433913528622,20.86399423742813,12.701662892167292,101432.84629378782,4.351654994103285,47.330031945486425,82697.61857358873,0.0,0.3338659712644194,-0.1490113011330381,14.953855080306443,0.5061781620728661,86.83296424443462,6,15,111.32332236519945
2020-06-18,0.4241715174849787,23.35098177181777,15.21274947915026,101477.71503013694,6.251705741882404,36.78966911006527,82797.81742219004,0.0,0.0272501625110625,-0.1221301401600739,13.16610872840432,0.3848708329085338,88.85005689220208,6,15,113.22050487956076
2020-06-19,1.951823232507252,25.04168186187752,16.940513916425857,101359.69920037384,7.472358291379919,37.01671664565201,82768.95925214214,1.627537522024365e-06,0.3410404943610711,0.0127697932954517,88.71463552374857,0.4246413500353563,89.91044303056732,6,15,114.79979708020463
2020-06-20,4.809696328768155,25.952283457274063,18.55024251425141,101505.29123876426,10.37732576349731,41.045904133288126,82925.07323168682,0.0001087335235018,0.7674064442355145,0.1924692639763096,75.85938639992085,0.8607305927279691,89.97632720550614,6,15,117.4164111120975
