EVI,NDVI,date,fire_period
0.2746876204288694,0.5399693209963056,2021-04-07,pre_fire
0.278414897713542,0.5356233432156204,2021-04-23,pre_fire
0.3046288742488577,0.5389497591238529,2021-05-09,pre_fire
0.3088870898243843,0.5575606323825721,2021-05-25,pre_fire
0.32160977092221926,0.5713382723088396,2021-06-10,pre_fire
0.3182109246631711,0.5736206900102492,2021-06-26,pre_fire
0.34493835486304025,0.5561158723734407,2021-07-12,pre_fire
0.27608210155725205,0.551252611361039,2021-07-28,during_fire
0.2860427443362568,0.5262031559585926,2021-08-13,during_fire
0.2554164492710761,0.5184556369779987,2021-08-29,during_fire
0.24400775863444285,0.5195747265844656,2021-09-14,during_fire
0.2417616422430559,0.503876719612888,2021-09-30,during_fire
0.22376017703264303,0.53670251221538,2021-10-16,during_fire
0.23208655451311774,0.5606820425505041,2021-11-01,post_fire
0.228646204824304,0.5627161629179169,2021-11-17,post_fire
0.2301179410377985,0.5626851768564848,2021-12-03,post_fire
0.2003832810170794,0.4072551895770671,2021-12-19,post_fire
0.2121294611775502,0.46809571501878255,2022-01-01,post_fire
0.22866017145408501,0.49069042390470763,2022-01-17,post_fire
0.2333548456434719,0.49224765096717266,2022-02-02,post_fire
0.23507712353996554,0.49680177936943587,2022-02-18,post_fire
0.2517137561167057,0.5117605609734005,2022-03-06,post_fire
0.26294671275482645,0.5315435886299789,2022-03-22,post_fire
