EVI,NDVI,date,fire_period
0.33457373066505336,0.6115087778132292,2018-08-13,pre_fire
0.3231485058061782,0.599553903326272,2018-08-29,pre_fire
0.3042179107800149,0.5842295266946469,2018-09-14,pre_fire
0.288013275527198,0.5857325079450929,2018-09-30,pre_fire
0.26654381445717,0.5531149558670391,2018-10-16,pre_fire
0.24864513912185987,0.5388046339724152,2018-11-01,pre_fire
0.22759682344842955,0.5270085479579706,2018-11-17,during_fire
0.24834329018866916,0.5306801917427976,2018-12-03,post_fire
0.22243501592527146,0.5597291660164601,2018-12-19,post_fire
0.2317447295193195,0.5386654309317267,2019-01-01,post_fire
0.23861463554615686,0.5630596538808961,2019-01-17,post_fire
0.19293952654959268,0.3893448424171318,2019-02-02,post_fire
0.23093142324127267,0.47880781734128425,2019-02-18,post_fire
0.2427977185669613,0.5378573478198881,2019-03-06,post_fire
0.26182206367707966,0.550544259742417,2019-03-22,post_fire
0.32545540621523267,0.6033614370808955,2019-04-07,post_fire
0.33967245279648267,0.6183556568908902,2019-04-23,post_fire
