EVI,NDVI,date,fire_period
0.2715969490652666,0.4946645107179043,2020-06-09,pre_fire
0.263059170635687,0.48968617092397254,2020-06-25,pre_fire
0.2583435826832393,0.492671586107823,2020-07-11,pre_fire
0.25650271840404854,0.4872748920415874,2020-07-27,pre_fire
0.24550846753572184,0.48590571093359014,2020-08-12,pre_fire
0.24629417522631053,0.47407987026986076,2020-08-28,pre_fire
0.1987596083406278,0.4217964024583142,2020-09-13,during_fire
0.18646832117641923,0.42245527067025845,2020-09-29,during_fire
0.17326722096217648,0.40811961315286954,2020-10-15,during_fire
0.17824671794919092,0.4164967148417513,2020-10-31,during_fire
0.17549133610841214,0.4053388480853636,2020-11-16,during_fire
0.17700780768436414,0.41774892612178255,2020-12-02,during_fire
0.15631734298574562,0.3241343630122046,2020-12-18,during_fire
0.16176903868045675,0.34788541131020406,2021-01-01,post_fire
0.16456342106025815,0.35484749707138674,2021-01-17,post_fire
0.14075998511281967,0.2464744506853348,2021-02-02,post_fire
0.15827078734354869,0.3004707953361867,2021-02-18,post_fire
0.16163874804703746,0.2741629926209974,2021-03-06,post_fire
0.18706389407728105,0.34280122207439756,2021-03-22,post_fire
0.20399325859240644,0.3855119453708242,2021-04-07,post_fire
0.2120317329943814,0.41261680597114464,2021-04-23,post_fire
0.2223301532201285,0.41709290615043065,2021-05-09,post_fire
0.23639956110588378,0.42282362570662185,2021-05-25,post_fire
