EVI,NDVI,date,fire_period
0.26388490262427133,0.46620372262169685,2021-09-14,pre_fire
0.24696993443919307,0.4425610685583977,2021-09-30,pre_fire
0.21840096017086086,0.40842908636474545,2021-10-16,pre_fire
0.19239503661850105,0.36091799708523165,2021-11-01,pre_fire
0.17836429316868424,0.34463794577795376,2021-11-17,pre_fire
0.15935661416526445,0.32750328432589476,2021-12-03,pre_fire
0.17558678178357653,0.3097304912696881,2021-12-19,pre_fire
0.040330859764703714,0.05380682901711623,2022-01-01,during_fire
0.0761593164546487,0.12834248067931583,2022-01-17,post_fire
0.03391467762105306,0.04867640592529931,2022-02-02,post_fire
0.05501844162053807,0.07929813202273021,2022-02-18,post_fire
0.13653349577946558,0.23323116620997855,2022-03-06,post_fire
0.16460713031244822,0.2879474414734173,2022-03-22,post_fire
0.17770459799179808,0.32914882808908164,2022-04-07,post_fire
0.18984569303198046,0.3469598313625246,2022-04-23,post_fire
0.2338831114257866,0.3780489159019436,2022-05-09,post_fire
0.3048913713518584,0.48262653327693716,2022-05-25,post_fire
0.3051783134413447,0.4590884749066703,2022-06-10,post_fire
0.29424431009434143,0.44447554710631343,2022-06-26,post_fire
