EVI,NDVI,date,fire_period
0.20553962460969807,0.4140717266333542,2021-04-07,pre_fire
0.22101087836860925,0.44341746574982427,2021-04-23,pre_fire
0.2696172256818966,0.4576670975438375,2021-05-09,pre_fire
0.26948014100434947,0.4640083281022326,2021-05-25,pre_fire
0.24839916017331135,0.4534797806891752,2021-06-10,pre_fire
0.2584005663747809,0.43876406341943897,2021-06-26,pre_fire
0.2235815322541817,0.3933387381101408,2021-07-12,during_fire
0.21862493193288676,0.40251927945161087,2021-07-28,during_fire
0.20236789974655353,0.38468364358221285,2021-08-13,during_fire
0.20172922234965032,0.3937488519857648,2021-08-29,post_fire
0.2009234481090623,0.41256826608503583,2021-09-14,post_fire
0.20224993482190926,0.40729006495922576,2021-09-30,post_fire
0.17976675057233266,0.4449968573786057,2021-10-16,post_fire
0.1723883099680941,0.4500264957306121,2021-11-01,post_fire
0.17696879958100592,0.4484011697429532,2021-11-17,post_fire
0.17341775114476507,0.42374191926349397,2021-12-03,post_fire
0.07413022289316329,0.1057296580683466,2021-12-19,post_fire
